age,gender,height,weight,bodyfat,diastolic,systolic,sitandbend,situps,broadjump,gripforce
27,1,172.3,75.24,21.3,80,130,18.4,60,217,54.9
25,1,165,55.8,15.7,77,126,16.3,53,229,36.4
31,1,179.6,78,20.1,92,152,12,49,181,44.8
32,1,174.5,71.1,18.4,76,147,15.2,53,219,41.4
28,1,173.8,67.7,17.1,70,127,27.1,45,217,43.5
36,0,165.4,55.4,22,64,119,21,27,153,23.8
42,0,164.5,63.7,32.2,72,135,0.8,18,146,22.7
33,1,174.9,77.2,36.9,84,137,12.3,42,234,45.9
54,1,166.8,67.5,27.6,85,165,18.6,34,148,40.4
28,1,185,84.6,14.4,81,156,12.1,55,213,57.9
42,1,169.2,65.4,19.3,63,110,16,68,211,43.5
57,0,153,49,20.9,69,106,30,0,90,21.5
27,0,156,53.9,35.5,69,116,13.1,28,144,23.1
22,1,175.7,67.9,11.3,71,103,19.2,55,232,52.5
24,1,181,84.4,20.4,80,120,7.2,54,213,48.9
45,0,159,63.1,30.9,93,144,19,30,155,34.1
25,0,164.2,66.6,30.2,82,120,22.9,39,178,25.7
26,1,179.9,71.5,9.7,64,135,17.8,61,239,59.6
26,1,169.2,70.6,21,63,129,15.1,53,225,41.3
21,0,162.7,47.2,18.9,78,133,20.5,36,137,25.4
25,0,161.7,63.36,31.3,89,128,10.7,39,160,25
59,0,155.9,62.7,30.2,76,143,29.1,25,122,36.8
38,1,166.7,67.3,23.2,70,111,19.7,62,215,26.1
44,1,170,63.3,12.9,65,115,11.6,49,196,44.5
23,0,164.1,59.4,29.6,91,126,27.5,32,169,24.6
62,1,169,70.7,30.5,96,146,4,43,131,39.3
47,0,158.3,53.5,29.2,70,117,8.1,32,151,25.9
48,1,175.8,84.5,31.4,83,125,3.7,24,211,33.8
36,1,176,81.3,24.5,81,139,8.1,54,232,46.2
50,0,159.8,57.1,24.4,63,103,24.4,30,143,30.8
25,1,170.9,70.7,15.7,80,127,26.4,38,246,36.4
26,1,176.7,77.2,16.3,66,129,9.1,51,223,50
28,0,159.5,51.54,24.5,82,123,23,37,145,37.2
30,1,172.1,79.5,26.7,91,148,-2,40,192,34.7
49,0,151.5,52,27.6,77,144,21.3,39,154,23.8
40,1,177.6,88.6,20.3,93,138,12.1,54,224,51.5
21,1,172.5,66.4,12.5,82,130,6.3,46,178,51.2
31,1,177.5,79.5,23,90,148,18.4,62,208,51.2
32,1,178,84.5,21.2,68,130,16.2,62,232,52.3
27,1,177.6,79.7,22.8,59,108,1.8,59,219,48
42,1,168,61,14.9,94,151,1,32,230,28.9
52,1,173.6,84.9,30.3,93,144,9,43,185,42
39,1,173.3,69.8,23.8,76,137,18.2,38,227,40
33,0,159.6,60.5,32.1,62,106,22.2,24,129,21.9
25,0,161.8,57.7,21.7,74,115,26.6,50,190,29.3
31,1,169.9,73.1,19.2,97,145,14.5,37,249,45
34,1,183.6,76.82,16.3,80,120,14.2,55,220,46.3
26,1,172.1,66.1,24.9,62,102,-9.9,44,159,19.9
28,1,180.1,82.1,15,83,147,18.8,55,247,52.6
58,1,164.2,64,19.8,93,150,18.3,38,205,36.8
48,1,169.8,75.4,14.7,94,149,24.7,55,246,51.4
23,1,180.1,65.9,14.4,72,130,18.1,56,234,45.4
38,0,157.2,51.7,27.3,64,106,14.7,19,139,25.1
43,0,168.3,69.3,31.9,88,139,20.2,33,164,32.1
21,0,159.5,51.3,35.8,80,122,2.1,5,105,16.6
56,1,166.7,56.9,16.5,90,147,17.8,30,198,41.6
24,1,164.4,66.2,17.1,63,110,16.2,43,232,40.2
58,0,146.5,46.4,32.9,71,127,17.4,20,111,18.7
42,1,174.1,103.1,30.5,78,123,3.6,25,153,50.7
45,1,185.4,80,21.9,93,144,7.1,22,205,46.2
37,1,168.9,78.8,23.4,88,144,20.9,47,241,42.1
31,1,175.3,83.6,30.1,93,152,7.2,55,193,45.9
43,0,164,50.8,22.4,88,124,13.5,28,160,24
23,0,162.4,58.9,29.6,71,119,25.5,48,178,28.1
59,0,165,63.7,31.4,77,120,25.5,30,120,20.8
63,1,166.6,75.5,31.6,62,122,6.7,17,140,34.1
40,1,174.2,77.6,17.8,85,133,12.1,48,213,49.5
27,0,150.5,55.7,39.6,66,114,13.4,23,159,29.7
56,0,160.2,62.4,33.3,67,103,20.7,15,133,28.8
35,1,179,75,10.7,74,129,16.6,54,233,47.7
30,1,172.7,78,26.6,79,140,3.4,25,218,36.9
56,1,160.2,62.7,30.2,85,140,9.5,27,184,35.4
36,1,171.5,80.5,21.5,86,153,16.8,53,220,46.7
60,1,175.1,66.5,17.3,85,125,13.9,31,211,40.4
22,1,172.2,70.6,24.3,70,118,9.8,50,213,36.7
22,1,171.9,78.46,22.9,64,116,-9.3,46,219,43.6
37,1,174,75.2,18.5,82,142,20.5,50,224,39.7
21,0,158.1,53.6,27.63524,70,115,12.4,17,116,18.9
21,1,170.4,74.3,19.5,82,157,12.7,54,194,45.6
60,0,158.6,62.7,34.6,80,137,18.4,12,132,29.3
27,0,168.5,64.2,26.2,76,108,23.1,18,164,25.2
59,0,156.3,60.5,33.6,79,130,22.4,23,135,29.6
47,0,157,54.1,26.8,72,117,18.2,25,157,25.1
21,0,161.3,50.6,23.5,69,127,29.4,39,175,27.5
51,1,177,68.7,18.3,84,140,11.3,35,220,39.3
48,1,171,66.2,17.3,99,144,16,49,225,48.8
49,1,170,66.2,18,82,130,20,39,156,39.5
41,0,158.1,51,21.7,86,127,28.6,46,165,23.1
24,0,159,45.5,24.5,85,135,22.9,57,197,28.5
35,1,178.4,79,15.4,73,127,14.7,68,260,52.7
26,0,156.7,56.3,32.8,78,123,22.9,28,130,19.7
35,1,178.5,78.4,13.8,81,136,17.1,64,237,51.5
25,1,171.2,65.1,11.8,67,127,22.2,54,239,45.1
30,1,176.4,71.7,17.9,68,130,24.3,56,210,53.4
27,1,175.4,86.4,19.8,76,135,20.6,48,213,47.6
41,1,166.7,65.7,21.5,90,151,18.7,54,242,49.6
50,0,158.4,57.2,32,69,134,18.6,17,136,21.1
22,1,175.8,72,30.4,75,115,19,54,188,34.6
56,1,173,70.9,19.5,83,135,11.1,44,162,47.9
46,0,159.1,52.2,27.2,84,127,17.9,30,136,22.9
44,1,180.5,79.5,21.7,87,127,10.8,33,196,42.3
25,0,162.2,71.5,41.3,75,124,7,5,120,24.9
25,0,156.3,48.6,26.5,73,138,29.8,41,155,22.8
59,1,170,59.1,15,71,115,8.6,15,162,28.3
30,1,178.4,82.5,30,97,139,1.9,42,200,39.3
24,1,176,67.2,10.8,81,120,17.2,55,242,47.7
39,1,168.8,70.9,25.5,83,128,5.4,33,201,33.7
27,1,170.3,74.6,22,98,151,14.5,53,170,47.9
33,1,172.8,78.8,19.3,87,146,19.7,59,228,59.8
28,0,163.6,52.4,20.3,72,118,23.5,23,130,31
28,0,166.2,59.7,21.9,72,118,15.6,38,165,32.1
35,1,179.2,64.7,12.9,88,128,22.5,46,239,49.7
34,1,177.8,76.4,28.9,82,130,5.3,38,194,41.1
35,1,184.7,84.18,16.3,70,120,15.3,56,229,48.8
34,1,173.2,73.77,19.5,80,120,18.1,59,218,50
25,1,164.3,61.18,22,78,145,18.6,47,209,43.3
32,1,169.2,68.7,15.2,80,120,21.1,64,254,48.3
21,0,169.1,56.1,22.6,77,120,31.3,24,162,26.3
22,1,183.5,76.9,15.7,86,143,22.8,56,253,40.9
22,0,156.9,46.9,23,98,155,16.5,38,155,20.5
24,1,172.1,64.5,16.8,88,154,21.7,63,201,40.2
27,1,178.2,75.1,15.9,59,129,16.7,55,229,49.2
21,0,164.4,48.1,16.9,63,112,29.4,41,215,26.5
46,0,164.1,49.1,30.5,59,117,4.3,16,150,21.2
29,0,162.2,51.7,29.2,83,118,23.7,44,183,29.7
23,0,162.7,51.7,19,76,110,21.4,59,200,32.6
51,1,177.9,67.2,15.8,63,112,13.7,25,183,36.6
28,1,184.8,84.6,17.2,83,123,11.7,56,257,52.5
23,0,164.7,44.3,26.7,80,130,12.5,25,130,22.3
30,1,178.3,93.5,27.3,81,129,16.1,47,222,57
25,0,160.1,51.7,30.7,71,126,21.1,47,159,25.7
28,1,172.7,69.8,27.6,81,149,10,48,185,46.5
22,1,178.3,73.2,23.4,93,132,11.7,46,208,42.7
51,1,167.7,72.7,29,90,148,6.1,37,180,36.3
24,0,165.1,49.9,19.3,70,108,21.6,50,204,31.8
27,0,160.3,47.8,19.5,60,111,28,37,173,27.3
61,0,153.2,62.2,37,71,111,3,0,58,25.7
30,1,169.5,71.9,20.6,72,125,13,66,235,45.9
42,1,180.2,73.3,20.4,95,140,26,41,211,53.7
22,1,180.3,91.7,32.1,75,134,-6.9,36,210,28.6
23,0,164.7,62.5,31.4,77,121,14.7,41,165,23.2
27,0,160.2,54.5,20.7,77,130,22.5,35,171,22.2
29,1,167.9,70.7,25.3,75,135,16.2,53,181,47.3
62,1,165.6,67.6,25.7,84,152,9.8,41,188,40.5
21,1,169.2,92.9,33.3,93,157,10.9,52,226,44.6
25,1,184.1,74.7,12.6,94,141,13,49,243,49.5
31,0,166.9,64.1,30.5,77,133,21.5,37,150,27.5
21,1,175,66.4,16.5,77,124,13,54,248,39.4
38,1,171.6,66.3,20.5,92,153,26.2,46,204,46
23,0,178.1,64.2,29.2,55,102,14.6,27,126,29.9
56,1,170.1,61.5,22,89,148,20.5,40,195,37.7
59,1,170.3,71,24.5,75,140,22,33,182,30.1
23,0,164.4,54.3,21.7,61,109,31.7,44,186,27
52,1,170,75.5,30.4,77,127,10.2,29,186,39.6
33,1,178,74.66,19,96,135,18.6,37,198,43.1
58,0,154.9,51.6,24.1,85,132,19.4,31,165,25.3
21,0,160.9,61.4,36.5,71,103,20.8,47,169,27.3
27,1,176,72.86,18.6,78,155,10.1,53,231,39.7
27,1,173.5,65.3,14.3,76,137,12.1,46,229,39.1
21,0,163,62.3,32.9,75,131,12.2,44,167,33.3
57,1,168.5,66,24.1,88,156,9.5,30,212,42.1
29,0,166.7,52.84,15.2,74,125,29.7,48,186,30.7
45,1,170,70,20,73,137,8.5,36,219,34.2
24,0,155.5,64.4,34.8,60,109,16.7,43,174,24.7
50,0,163.9,52.5,19.6,89,151,18,26,171,25.4
60,1,173,68.4,11.4,70,124,12.3,52,195,47.1
62,1,163.7,63.9,23.3,93,144,25,29,211,42.7
39,0,159.2,45.3,19.6,64,105,18.7,36,161,20.8
22,0,162.2,60.4,27.1,74,115,22.6,37,148,34.9
54,0,156.5,52.2,30.1,72,117,13.5,16,110,20.5
48,1,167.2,68.5,28.2,75,112,7,31,195,39.2
61,0,160.9,63.1,30.9,83,130,21.1,27,140,27.5
60,1,172.5,76,23.1,86,154,16,41,206,47.3
27,1,168.6,67.2,23.7,77,123,11.6,41,223,45
40,0,162.5,51.4,22.5,91,143,26.3,36,174,26.9
36,1,172.1,65.64,19.9,86,142,15.4,39,215,47.3
58,1,168.5,74.9,30.1,89,139,15.8,29,188,40.6
55,0,152.8,55.6,31.3,78,129,15.7,23,130,23.9
25,0,158.1,57.9,31.5,61,117,13.7,59,157,24.5
21,1,169.6,64.5,10.9,77,134,21.5,65,248,46.2
23,0,163.8,57.5,31.7,84,127,28.8,43,164,32.9
64,1,165.8,61.3,8.5,66,114,7.6,33,166,34.9
21,1,187.4,84.4,18.8,82,151,16.8,49,257,50.8
56,0,149.4,51.6,35.1,83,132,18.8,11,117,25.5
22,1,167.3,61.4,16.4,68,114,19.9,67,240,38.8
28,0,165.4,62,31.1,58,102,21.7,31,170,25
53,0,152.7,46.9,27.5,68,126,18.5,20,152,23.5
23,1,165.7,62.7,23.2,70,123,25.5,35,237,37.7
46,1,176.8,80.9,22.7,82,141,22.1,45,206,50.1
56,0,148.2,54.7,37.7,85,125,10.7,0,134,22.7
44,1,172,71,18.1,69,113,28.7,52,203,48.3
27,1,173.8,68.4,13.9,69,110,14.1,49,244,47.8
45,1,166.5,71.5,26.6,99,160,24.2,47,201,47.8
63,1,164.7,73.8,36.7,81,141,9,22,135,35.6
26,1,183.4,83.6,14.1,79,145,16,51,231,50.6
32,1,170.8,72.2,24.1,80,127,16.6,60,205,47.4
22,0,167,50.3,18.9,77,120,23.3,39,168,27.9
21,1,175,84.7,28,61,133,11.6,42,156,50.9
21,1,178.9,75.5,17.2,81,138,15.4,55,213,40.8
54,0,148,53.4,27.9,97,159,23,35,145,27.9
21,1,179,82.8,15.4,67,122,19.9,56,278,58.9
24,1,163.9,64.8,23.6,94,141,13.2,47,224,39.7
31,1,178,84.66,18.9,75,129,15.1,47,196,59.2
27,1,180.9,77.1,19.9,76,156,22,52,209,40.9
22,0,163.8,54.2,28.4,96,151,19.4,41,155,23.6
61,0,152.6,56.4,37.6,93,136,20.2,4,125,28.9
60,1,171.9,60.9,16.7,78,128,10.9,28,190,33.6
41,0,160,50,20.6,62,106,22.6,38,178,27.4
59,1,166.1,67.8,25.9,98,151,22.4,34,188,40.6
51,1,174.5,71.2,21.2,92,136,13,41,203,40.7
34,1,181.1,70.5,19.4,70,131,12.7,40,217,34.1
22,0,169.2,53.2,16,66,103,27.1,54,202,30
22,0,162.1,55.1,23.2,61,99,23.1,43,198,28.5
23,0,161.8,47.8,17.2,66,103,21.5,47,178,25.2
27,0,152.3,55.5,37.5,81,126,16.1,37,113,16.6
25,0,160.9,63.7,36.1,99,144,23.6,37,179,26.4
37,0,149.5,38.1,17.3,66,110,23,35,167,16.2
21,1,170,50.1,16.3,67,124,6.4,44,210,28.5
31,1,174,67.6,15.6,82,140,5.1,38,225,39.3
49,1,176.2,73.3,22.2,88,147,9.9,33,223,45
27,1,182.5,81,17.8,66,115,9.1,44,233,42
49,0,155.9,57,23.3,67,104,17.5,25,110,25.1
36,0,156.6,55,26.6,80,124,12.5,24,149,30.1
33,1,179.2,76.3,23.8,85,126,8.7,36,188,32
61,0,146.5,56.16,37.3,89,152,23.5,12,118,26.9
24,0,166.9,70,23.7,55,102,23.8,47,186,39.1
25,1,168.8,63.9,26,81,131,20.1,49,215,38.2
28,0,161.4,55.9,35.2,77,128,18.1,30,152,22.4
26,0,162.6,57.2,32.6,69,116,20.6,43,128,26.9
62,1,175,68,22.6,75,123,2.8,33,194,46
51,1,172.4,75.6,23.3,83,120,22.4,55,211,47.4
26,1,180.2,103.4,24.7,70,128,16.2,46,219,67.6
21,0,160.7,56.6,29.2,71,110,30.1,32,157,25.6
56,0,149,46.7,23.2,95,157,28,41,186,25
52,1,165.4,74.8,27.5,86,143,18.2,56,217,38.9
21,0,169.2,64.9,35.3,68,125,22.3,39,174,29.9
56,0,157.2,60.4,36.2,70,118,14.3,16,132,24.2
36,1,169.9,67.1,17.9,98,149,16.3,59,228,48.8
32,0,163.5,55.6,25.5,68,108,24.5,36,183,28.2
21,0,159.9,49.7,25.4,76,116,24.3,11,145,23.4
63,1,165.8,63.9,20.7,82,123,14.2,28,160,26.9
32,1,168,69.8,21.9,88,127,26.3,68,248,50.9
28,1,175.1,75.5,13.8,71,126,11.4,66,247,44.5
40,1,169.8,84.1,25,93,132,19.8,40,220,57.9
26,0,158.8,56.9,27.6,60,93,20.8,37,172,21.8
56,0,156.9,49.9,35.9,67,128,1.2,20,118,12.1
22,1,168.4,69.9,15,51,118,16.3,61,234,44
29,1,172.7,72.6,27.5,82,121,3.3,40,213,35
61,1,171.6,86.4,28.7,70,142,-2.4,12,162,35.1
54,0,162.9,51.4,29.4,82,122,20.5,24,134,19.5
56,1,168.8,66.4,23.8,91,143,20.2,35,186,34.3
36,1,173,72.7,19.2,91,149,7.8,46,204,45.9
24,1,167.5,65.66,19.1,98,154,18.3,44,241,45.3
